"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3373","Escenario 8 - Registrar un libro","","2026-08-06","failed","2026-08-06","Módulo Libros","libros.spec.js","",""
"","2511","Escenario 7 - Encontrar libro existente","","2026-08-06","failed","2026-08-06","Módulo Libros","libros.spec.js","",""
"","3732","Escenario 9 - Registrar un libro","","2026-08-06","failed","2026-08-06","Módulo Libros","libros.spec.js","",""
"","33349","Registrar préstamo","","2026-08-06","broken","2026-08-06","","prestamos.spec.js","",""
"","4157","Escenario 1 - Registrar un libro","","2026-08-06","failed","2026-08-06","Módulo Libros","libros.spec.js","",""
"","3105","Escenario 5 - Eliminar un libro","","2026-08-06","failed","2026-08-06","Módulo Libros","libros.spec.js","",""
"","2899","Escenario 4 - Editar un libro","","2026-08-06","failed","2026-08-06","Módulo Libros","libros.spec.js","",""
"","3558","Abrir Biblioteca Virtual","","2026-08-06","passed","2026-08-06","","home.spec.js","",""
"","2261","Escenario 2 - Buscar libro existente","","2026-08-06","failed","2026-08-06","Módulo Libros","libros.spec.js","",""
"","3117","Escenario 6 - Buscar libro existente","","2026-08-06","failed","2026-08-06","Módulo Libros","libros.spec.js","",""
"","2890","Escenario 3 - Buscar libro inexistente","","2026-08-06","failed","2026-08-06","Módulo Libros","libros.spec.js","",""
"","4701","Registrar usuario","","2026-08-06","failed","2026-08-06","","usuarios.spec.js","",""
